,AKBNK,AKBNK,AKBNK,ASELS,ASELS,ASELS,FROTO,FROTO,FROTO,SISE,SISE,SISE
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2011-06-24 00:00:00+00:00,6.550881862640381,6.550881862640381,11797910,0.5257329940795898,0.5257329940795898,22793063,13.25,13.25,360912,2.0508270263671875,2.0508270263671875,2325132
2011-06-27 00:00:00+00:00,6.430840015411377,6.430840015411377,8227302,0.5222049951553345,0.5222049951553345,11255562,13.300000190734863,13.300000190734863,230714,2.0808980464935303,2.0808980464935303,2571905
2011-06-28 00:00:00+00:00,6.396542072296143,6.396542072296143,12433986,0.5269100069999695,0.5269100069999695,22421117,13.600000381469728,13.600000381469728,450847,2.098939895629883,2.098939895629883,3790423
2011-06-29 00:00:00+00:00,6.430840015411377,6.430840015411377,6711708,0.5257329940795898,0.5257329940795898,16163963,13.800000190734863,13.800000190734863,690998,2.1109681129455566,2.1109681129455566,2427457
2011-06-30 00:00:00+00:00,6.447988986968994,6.447988986968994,8509988,0.5292620062828064,0.5292620062828064,23590657,13.949999809265137,13.949999809265137,276894,2.10495400428772,2.10495400428772,3534487
2011-07-01 00:00:00+00:00,6.379393100738525,6.379393100738525,4057634,0.5269100069999695,0.5269100069999695,6923810,13.949999809265137,13.949999809265137,223552,2.153067111968994,2.153067111968994,3531371
2011-07-04 00:00:00+00:00,6.447988986968994,6.447988986968994,7265902,0.5327900052070618,0.5327900052070618,11454467,14.100000381469728,14.100000381469728,159112,2.195167064666748,2.195167064666748,4087411
2011-07-05 00:00:00+00:00,6.465137958526611,6.465137958526611,9671010,0.5374950170516968,0.5374950170516968,24537569,14.100000381469728,14.100000381469728,145417,2.225236892700196,2.225236892700196,2232567
2011-07-06 00:00:00+00:00,6.362244129180908,6.362244129180908,5502146,0.5410230159759521,0.5410230159759521,16270277,13.699999809265137,13.699999809265137,186007,2.243279933929444,2.243279933929444,2440244
2011-07-07 00:00:00+00:00,6.499435901641846,6.499435901641846,8754132,0.5386710166931152,0.5386710166931152,11821328,13.600000381469728,13.600000381469728,177979,2.225236892700196,2.225236892700196,2640405
2011-07-08 00:00:00+00:00,6.396542072296143,6.396542072296143,15428774,0.5280860066413879,0.5280860066413879,18232155,13.5,13.5,157073,2.1891520023345947,2.1891520023345947,2604017
2011-07-11 00:00:00+00:00,6.242201805114746,6.242201805114746,13063650,0.5186769962310791,0.5186769962310791,10461318,13.399999618530272,13.399999618530272,206027,2.183137893676758,2.183137893676758,1191224
2011-07-12 00:00:00+00:00,6.293649196624756,6.293649196624756,9746495,0.5292620062828064,0.5292620062828064,14648529,13.199999809265137,13.199999809265137,275184,2.267335891723633,2.267335891723633,2857925
